condition,trial,n_teammates,success,tasks_done,total_tasks,task_completion_rate,wall_clock_seconds,total_rounds,total_input_tokens,total_output_tokens,total_tokens,tokens_per_task,dispatched_agent_rounds,possible_agent_rounds,idle_agent_rounds,idle_fraction,run_dir
decentralized,6,4,True,6,6,1.0,307.5129117965698,6,406636,108662,515298,85883.0,30,30,0,0.0,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_06_decentralized_20260428_154937
metagpt,10,4,False,0,1,0.0,846.031,30,330191,66521,396712,nan,0,0,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_10_metagpt_20260428_154119
metagpt,11,4,False,0,1,0.0,1012.467,30,308735,84097,392832,nan,0,0,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_11_metagpt_20260428_155530
dynamic,12,4,True,9,9,1.0,120.97213912010193,10,93269,11319,104588,11620.888888888889,25,40,15,0.375,experiments/textproc/n4/runs/openai_gpt-5.2_12_dynamic_20260504_185047
decentralized,12,4,True,6,6,1.0,70.80966305732727,5,53378,14634,68012,11335.333333333334,25,25,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_12_decentralized_20260504_185258
static,12,4,True,11,11,1.0,186.57169008255005,13,96762,17543,114305,10391.363636363636,30,52,22,0.4230769230769231,experiments/textproc/n4/runs/openai_gpt-5.2_12_static_20260504_185409
no_graph,12,4,True,6,6,1.0,108.36333322525024,10,170377,20996,191373,31895.5,40,50,10,0.2,experiments/textproc/n4/runs/openai_gpt-5.2_12_no_graph_20260504_185730
metagpt,12,4,False,0,1,0.0,868.067,30,449490,61267,510757,nan,0,0,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_12_metagpt_20260504_185918
dynamic,13,4,True,8,8,1.0,117.68687319755554,13,95738,11061,106799,13349.875,28,52,24,0.46153846153846156,experiments/textproc/n4/runs/openai_gpt-5.2_13_dynamic_20260504_191355
decentralized,13,4,True,6,6,1.0,69.50399374961853,8,129226,19600,148826,24804.333333333332,40,40,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_13_decentralized_20260504_191601
static,13,4,True,10,10,1.0,145.22756695747375,13,109516,15225,124741,12474.1,31,52,21,0.40384615384615385,experiments/textproc/n4/runs/openai_gpt-5.2_13_static_20260504_191711
no_graph,13,4,True,6,6,1.0,106.94430184364319,10,162843,20699,183542,30590.333333333332,40,50,10,0.2,experiments/textproc/n4/runs/openai_gpt-5.2_13_no_graph_20260504_191950
metagpt,13,4,False,0,1,0.0,881.797,30,228896,60558,289454,nan,0,0,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_13_metagpt_20260504_192137
dynamic,14,4,True,10,10,1.0,99.19300293922424,6,64307,16414,80721,8072.1,13,24,11,0.4583333333333333,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_14_dynamic_20260504_200650
decentralized,14,4,True,6,6,1.0,159.15059518814087,3,93807,61438,155245,25874.166666666668,15,15,0,0.0,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_14_decentralized_20260504_200944
static,14,4,False,10,10,1.0,104.78891587257385,3,25537,14447,39984,3998.4,6,12,6,0.5,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_14_static_20260504_201223
no_graph,14,4,True,6,6,1.0,310.4228186607361,3,125155,61437,186592,31098.666666666668,12,15,3,0.2,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_14_no_graph_20260504_201428
dynamic,15,4,True,6,6,1.0,72.17013597488403,9,92043,11285,103328,17221.333333333332,24,36,12,0.3333333333333333,experiments/textproc/n4/runs/openai_gpt-5.2_15_dynamic_20260504_205243
decentralized,15,4,True,6,6,1.0,131.78632497787476,15,419883,34057,453940,75656.66666666667,75,75,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_15_decentralized_20260504_205403
static,15,4,True,10,10,1.0,221.49544191360474,17,128316,23472,151788,15178.8,34,68,34,0.5,experiments/textproc/n4/runs/openai_gpt-5.2_15_static_20260504_205614
no_graph,15,4,True,6,6,1.0,97.75230693817139,3,24443,9663,34106,5684.333333333333,12,15,3,0.2,experiments/textproc/n4/runs/openai_gpt-5.2_15_no_graph_20260504_210012
metagpt,14,4,True,1,1,1.0,2875.393,30,1929990,254790,2184780,2184780.0,0,0,0,0.0,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_14_metagpt_20260504_201938
dynamic,15,4,True,19,19,1.0,213.68339204788208,16,119747,25306,145053,7634.368421052632,17,64,47,0.734375,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_15_dynamic_20260504_210740
decentralized,15,4,True,6,6,1.0,161.04336190223694,3,91645,61438,153083,25513.833333333332,15,15,0,0.0,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_15_decentralized_20260504_211131
